Ticker,Exp_Return_15D,Volatility_Risk,Sharpe_Score,Kelly_Raw,Suggested_Weight
5522,0.0201,0.009925160096015073,0.8062465844913603,204.0002984228771,0.2
3322,0.0164,0.00818665606790317,0.7074413056436424,244.74590982376424,0.2
8044,0.01445,0.007823152613775567,0.6331322182661894,236.10568450324277,0.2
4513,0.013565,0.006791970716941492,0.6224798873291786,294.0561187802478,0.2
4306,0.01314,0.006226971317887143,0.6189209560829704,338.82035269065824,0.2
5871,0.01303,0.006613004157318746,0.6029243211412769,297.97535689180376,0.2
3357,0.01372,0.008319547206456421,0.588246900582595,198.18938062510998,0.2
1714,0.012436,0.00687983884086454,0.5683731574252363,262.73694630862803,0.2
2428,0.01178,0.005964730465088815,0.5618858384974755,331.09736364662086,0.2
00923,0.01194,0.006510914202042765,0.5550671779571498,281.65694909929493,0.2
3019,0.01197,0.006649646516337332,0.5529198830335643,270.71723031207904,0.2
6101,0.0125,0.007814482526574004,0.5477638262288537,204.6461234288771,0.2
00837B,0.01234,0.007782160474718295,0.5415083863851062,203.7040808752775,0.2
5258,0.01373,0.010537287923622943,0.5377591464419582,123.68154019460401,0.2
3035,0.011894,0.007126151741224424,0.5375641554540177,234.2211221330224,0.2
3712,0.011475,0.006389560656436193,0.5364583947892941,281.0579766432969,0.2
00905,0.01163,0.006707478223673158,0.5356309538039717,258.4380752764902,0.2
7777,0.011566,0.006609068995826213,0.5352457392592436,264.79434349887083,0.2
3490,0.01452,0.012467110772163933,0.5285862759064748,93.41082880721913,0.2
6152,0.01281,0.009376858122033966,0.5254882870401645,145.68877111798304,0.2
2207,0.01195,0.007846464252438476,0.522953210786754,194.0590184756874,0.2
00955,0.01048,0.005461091960503352,0.5123278907192604,351.4939278627293,0.2
2002,0.01031,0.005460496403165048,0.503766468252662,345.6855070277631,0.2
4130,0.01137,0.007637755453601573,0.5021609971386952,194.86993673970974,0.2
1616,0.01016,0.005496102886389914,0.4958188184336807,336.42215653653074,0.2
