Ticker,Date,Pred_5d,Pred_20d,Pred_60d,Uncertainty_5d,Uncertainty_20d,Uncertainty_60d
1536,2026-08-10,-0.10836204,-0.12536365,-0.20188522,0.018139916,0.021315891,0.029239709
1537,2026-08-10,0.053640407,0.0739436,0.08554934,0.009236111,0.015270531,0.023108197
1539,2026-08-10,0.12845974,0.1484088,0.23841168,0.029652037,0.044354506,0.045918144
1540,2026-08-10,0.13615467,0.20626225,0.22225451,0.025296612,0.032999963,0.03953546
1541,2026-08-10,0.089827694,0.11793547,0.119898066,0.020071262,0.031147124,0.029438892
1558,2026-08-10,0.029169798,0.06552126,0.09202274,0.017588561,0.0297794,0.03394156
1560,2026-08-10,-0.006855324,0.0034093831,-0.008457938,0.015838796,0.021590661,0.02710879
1563,2026-08-10,-0.050788026,-0.095438674,-0.09862764,0.021515029,0.031398684,0.030576566
1565,2026-08-10,-0.13988622,-0.24497995,-0.2913933,0.02957001,0.03537791,0.031559184
1568,2026-08-10,0.037689827,0.117749676,0.1690452,0.02215666,0.03413351,0.03780077
1569,2026-08-10,-0.036844138,-0.003812547,-0.10161615,0.030638939,0.04971469,0.046595
1570,2026-08-10,0.059741378,0.124924235,0.2652187,0.026865128,0.032016497,0.046189625
1580,2026-08-10,-0.0048422907,-0.033303462,-0.08504273,0.013911352,0.021067342,0.0260987
1582,2026-08-10,-0.13628916,-0.18230048,-0.20784429,0.02035914,0.025267612,0.035345636
1583,2026-08-10,0.03415866,0.052821163,0.048489604,0.017776176,0.026411902,0.029638192
1584,2026-08-10,-0.10180135,-0.115731984,-0.086754456,0.017871827,0.023661206,0.024787135
1586,2026-08-10,-0.10383865,-0.13571,-0.044176757,0.023037396,0.033412866,0.03260608
1587,2026-08-10,0.03519065,0.05211923,0.13377072,0.026245106,0.024819596,0.035338633
1590,2026-08-10,-0.06608811,-0.10574684,-0.08392846,0.021386702,0.030009244,0.044612993
1591,2026-08-10,0.5320718,0.5429396,0.5708294,0.100407034,0.15294726,0.14707956
1593,2026-08-10,0.09519134,0.17411146,0.26735345,0.027519537,0.03585851,0.048357416
1595,2026-08-10,0.009850752,0.11611424,0.33595544,0.069644935,0.08483425,0.110219546
1597,2026-08-10,-0.214359,-0.22774766,-0.26514032,0.106990166,0.120908454,0.10733187
1598,2026-08-10,-0.022046285,-0.04590414,-0.024593476,0.019612983,0.028242202,0.030187614
1599,2026-08-10,-0.01226372,-0.111163944,-0.07380254,0.018368427,0.027811736,0.032741304
1603,2026-08-10,-0.006275009,0.039961215,0.045638204,0.022869363,0.027570343,0.026844006
1604,2026-08-10,-0.0073725064,-0.016230492,-0.008969418,0.01611196,0.025009962,0.03312029
1605,2026-08-10,-0.11769954,-0.06169636,-0.03138356,0.028645143,0.025887605,0.034841727
1608,2026-08-10,-0.033571847,-0.08238819,-0.0610291,0.03741497,0.04272766,0.04277561
1609,2026-08-10,-0.008499621,0.12087808,0.15294501,0.017140204,0.026391726,0.031440873
1611,2026-08-10,0.061036833,0.11978365,0.14307317,0.017305404,0.024141265,0.029565828
1612,2026-08-10,-0.05544143,-0.05305409,-0.07890662,0.02000036,0.027026743,0.033884663
1614,2026-08-10,0.006150952,0.016267626,0.020608908,0.0150374165,0.023374049,0.027256414
1615,2026-08-10,0.042289678,0.078001864,0.07358682,0.016411586,0.019934438,0.02653651
1616,2026-08-10,0.0048109265,0.041277926,0.033209845,0.013728841,0.017464614,0.024651503
1617,2026-08-10,0.14860116,0.3357933,0.47154295,0.05946291,0.08953524,0.08040438
1618,2026-08-10,0.089511774,0.12877257,0.073600285,0.023191294,0.027521944,0.03808726
1623,2026-08-10,-0.0642165,-0.030550715,-0.036333933,0.01915461,0.02829746,0.028105723
1626,2026-08-10,0.034308217,0.024308551,0.03739481,0.014133526,0.022140017,0.023854481
1702,2026-08-10,-0.030256966,-0.06385808,-0.04274353,0.012444191,0.019534387,0.01709123
1707,2026-08-10,-0.10444889,-0.18411608,-0.2029472,0.014791748,0.021940049,0.025157865
1708,2026-08-10,-0.06734487,-0.029179621,0.013882909,0.018647254,0.028722454,0.026453339
1709,2026-08-10,0.081502326,0.25645405,0.38134485,0.05256213,0.08755056,0.08615572
1710,2026-08-10,-0.047468748,0.08506875,0.10221601,0.035609927,0.06006724,0.059658673
