stock_id,Date,score,rank
2542,2026-08-12,0.111947164,1
1730,2026-08-12,0.08454153,2
1777,2026-08-12,0.08369316,3
2903,2026-08-12,0.083353266,4
2884,2026-08-12,0.08322273,5
4536,2026-08-12,0.08262664,6
3512,2026-08-12,0.081246436,7
3611,2026-08-12,0.080791,8
3188,2026-08-12,0.08018029,9
9905,2026-08-12,0.08015132,10
2382,2026-08-12,0.07878849,11
2752,2026-08-12,0.07829514,12
1303,2026-08-12,0.0773336,13
2603,2026-08-12,0.07720515,14
2855,2026-08-12,0.07714948,15
6177,2026-08-12,0.07688026,16
2492,2026-08-12,0.07570954,17
5203,2026-08-12,0.075115696,18
1788,2026-08-12,0.074626,19
5609,2026-08-12,0.07317847,20
4581,2026-08-12,0.072183535,21
8432,2026-08-12,0.07183583,22
2633,2026-08-12,0.07176307,23
8424,2026-08-12,0.07110602,24
4506,2026-08-12,0.07016733,25
6171,2026-08-12,0.069883645,26
2882,2026-08-12,0.069744885,27
4107,2026-08-12,0.069337055,28
6703,2026-08-12,0.06930816,29
6147,2026-08-12,0.069305226,30
6023,2026-08-12,0.068897516,31
3711,2026-08-12,0.068203315,32
4153,2026-08-12,0.06743348,33
4439,2026-08-12,0.06738566,34
4126,2026-08-12,0.06700829,35
1451,2026-08-12,0.066835776,36
6576,2026-08-12,0.06627117,37
4105,2026-08-12,0.06616162,38
8433,2026-08-12,0.06611927,39
1783,2026-08-12,0.06573254,40
3158,2026-08-12,0.06563005,41
1731,2026-08-12,0.06497757,42
2618,2026-08-12,0.063911304,43
2801,2026-08-12,0.063463554,44
5876,2026-08-12,0.06329715,45
3293,2026-08-12,0.06324506,46
6914,2026-08-12,0.06322749,47
7708,2026-08-12,0.06283003,48
1472,2026-08-12,0.06276032,49
6028,2026-08-12,0.062555805,50
4116,2026-08-12,0.06251715,51
3570,2026-08-12,0.06251077,52
8416,2026-08-12,0.062480595,53
3546,2026-08-12,0.061664354,54
1726,2026-08-12,0.06155828,55
6474,2026-08-12,0.061548505,56
2753,2026-08-12,0.06125387,57
8284,2026-08-12,0.06123234,58
2852,2026-08-12,0.060993727,59
1558,2026-08-12,0.06088845,60
3218,2026-08-12,0.060588565,61
5520,2026-08-12,0.060533654,62
4904,2026-08-12,0.06010128,63
7760,2026-08-12,0.059824023,64
6606,2026-08-12,0.059380706,65
6951,2026-08-12,0.058689523,66
2347,2026-08-12,0.058582496,67
1339,2026-08-12,0.058578182,68
2897,2026-08-12,0.058372464,69
6690,2026-08-12,0.058333013,70
2832,2026-08-12,0.05828171,71
1264,2026-08-12,0.05819488,72
2751,2026-08-12,0.058169622,73
4754,2026-08-12,0.057788398,74
2816,2026-08-12,0.057767984,75
