stock_id,Date,score,rank
9905,2026-08-12,0.13220215,1
1777,2026-08-12,0.12719727,2
1730,2026-08-12,0.12359619,3
6527,2026-08-12,0.12133789,4
1731,2026-08-12,0.11987305,5
4126,2026-08-12,0.11932373,6
4535,2026-08-12,0.11755371,7
5609,2026-08-12,0.11755371,8
9925,2026-08-12,0.11517334,9
2903,2026-08-12,0.11450195,10
4153,2026-08-12,0.11242676,11
1726,2026-08-12,0.110839844,12
6509,2026-08-12,0.1104126,13
7705,2026-08-12,0.109680176,14
8432,2026-08-12,0.109375,15
4536,2026-08-12,0.10748291,16
1593,2026-08-12,0.10723877,17
4161,2026-08-12,0.10675049,18
2442,2026-08-12,0.10620117,19
2852,2026-08-12,0.105651855,20
2617,2026-08-12,0.10498047,21
9931,2026-08-12,0.10479736,22
8928,2026-08-12,0.10473633,23
1783,2026-08-12,0.10449219,24
3597,2026-08-12,0.10449219,25
5520,2026-08-12,0.10443115,26
3673,2026-08-12,0.10437012,27
6914,2026-08-12,0.10168457,28
4107,2026-08-12,0.101379395,29
4527,2026-08-12,0.101257324,30
4116,2026-08-12,0.10021973,31
6968,2026-08-12,0.100097656,32
1788,2026-08-12,0.09967041,33
2115,2026-08-12,0.09918213,34
5211,2026-08-12,0.09881592,35
6129,2026-08-12,0.09875488,36
4114,2026-08-12,0.09869385,37
6606,2026-08-12,0.09820557,38
8176,2026-08-12,0.098083496,39
2832,2026-08-12,0.097717285,40
5508,2026-08-12,0.09765625,41
2066,2026-08-12,0.09741211,42
8930,2026-08-12,0.09716797,43
1904,2026-08-12,0.09710693,44
4439,2026-08-12,0.09692383,45
2816,2026-08-12,0.09667969,46
8401,2026-08-12,0.09637451,47
1734,2026-08-12,0.095581055,48
5533,2026-08-12,0.09552002,49
4506,2026-08-12,0.09539795,50
1102,2026-08-12,0.09490967,51
9935,2026-08-12,0.09466553,52
9926,2026-08-12,0.09460449,53
8435,2026-08-12,0.09448242,54
7716,2026-08-12,0.09442139,55
6023,2026-08-12,0.09429932,56
6154,2026-08-12,0.09423828,57
9951,2026-08-12,0.094055176,58
5015,2026-08-12,0.09387207,59
4754,2026-08-12,0.09295654,60
2401,2026-08-12,0.09277344,61
9908,2026-08-12,0.09259033,62
3567,2026-08-12,0.09240723,63
6516,2026-08-12,0.092163086,64
1416,2026-08-12,0.091918945,65
3376,2026-08-12,0.09088135,66
5324,2026-08-12,0.09082031,67
4305,2026-08-12,0.09075928,68
7760,2026-08-12,0.09075928,69
