stock_id,Date,score,rank
6271,2026-08-12,0.22509766,1
6719,2026-08-12,0.21618652,2
5439,2026-08-12,0.1965332,3
3026,2026-08-12,0.19445801,4
6213,2026-08-12,0.19152832,5
8028,2026-08-12,0.18554688,6
8261,2026-08-12,0.18383789,7
3715,2026-08-12,0.18359375,8
3189,2026-08-12,0.17932129,9
2472,2026-08-12,0.17919922,10
6278,2026-08-12,0.16870117,11
7795,2026-08-12,0.16296387,12
5425,2026-08-12,0.16247559,13
8358,2026-08-12,0.15942383,14
6138,2026-08-12,0.15856934,15
8091,2026-08-12,0.15466309,16
2493,2026-08-12,0.15368652,17
6415,2026-08-12,0.15039062,18
6672,2026-08-12,0.14953613,19
3014,2026-08-12,0.14782715,20
2363,2026-08-12,0.14709473,21
4722,2026-08-12,0.14624023,22
2486,2026-08-12,0.14550781,23
6903,2026-08-12,0.14453125,24
6449,2026-08-12,0.14367676,25
6789,2026-08-12,0.14233398,26
8081,2026-08-12,0.13952637,27
6290,2026-08-12,0.13806152,28
2368,2026-08-12,0.13708496,29
6715,2026-08-12,0.13647461,30
4961,2026-08-12,0.13635254,31
6584,2026-08-12,0.13537598,32
3707,2026-08-12,0.13391113,33
2316,2026-08-12,0.13391113,34
2329,2026-08-12,0.13378906,35
3527,2026-08-12,0.13366699,36
6435,2026-08-12,0.13256836,37
6525,2026-08-12,0.13256836,38
2379,2026-08-12,0.13244629,39
2351,2026-08-12,0.13146973,40
8016,2026-08-12,0.13134766,41
3680,2026-08-12,0.13122559,42
7822,2026-08-12,0.1295166,43
8155,2026-08-12,0.12890625,44
6284,2026-08-12,0.12817383,45
4583,2026-08-12,0.12548828,46
3605,2026-08-12,0.12463379,47
3086,2026-08-12,0.124572754,48
2478,2026-08-12,0.12451172,49
3264,2026-08-12,0.123291016,50
3305,2026-08-12,0.12286377,51
7788,2026-08-12,0.122802734,52
3023,2026-08-12,0.1227417,53
3265,2026-08-12,0.12261963,54
3532,2026-08-12,0.12219238,55
8131,2026-08-12,0.12176514,56
5469,2026-08-12,0.11987305,57
8042,2026-08-12,0.11859131,58
3357,2026-08-12,0.11791992,59
1514,2026-08-12,0.11730957,60
3138,2026-08-12,0.11694336,61
5347,2026-08-12,0.11584473,62
6175,2026-08-12,0.11529541,63
2476,2026-08-12,0.11480713,64
2485,2026-08-12,0.11431885,65
2425,2026-08-12,0.113708496,66
3060,2026-08-12,0.11340332,67
2428,2026-08-12,0.113098145,68
8446,2026-08-12,0.11242676,69
3211,2026-08-12,0.11212158,70
3031,2026-08-12,0.11114502,71
3455,2026-08-12,0.110839844,72
3362,2026-08-12,0.109436035,73
2330,2026-08-12,0.10852051,74
6257,2026-08-12,0.10839844,75
2367,2026-08-12,0.10662842,76
2492,2026-08-12,0.105773926,77
6451,2026-08-12,0.105163574,78
3673,2026-08-12,0.1048584,79
6683,2026-08-12,0.10479736,80
6151,2026-08-12,0.10418701,81
6190,2026-08-12,0.10406494,82
2449,2026-08-12,0.103881836,83
3702,2026-08-12,0.103881836,84
7749,2026-08-12,0.1015625,85
2402,2026-08-12,0.10070801,86
5234,2026-08-12,0.10058594,87
2420,2026-08-12,0.1005249,88
2481,2026-08-12,0.1003418,89
